id,ligand,receptor,PKa
378,Specs_23080.pdbqt,10341.pdbqt,1610.3882580155184
379,Specs_15195.pdbqt,10341.pdbqt,5213.436630822327
380,Specs_8224.pdbqt,10341.pdbqt,3726.9582398412513
381,Specs_15362.pdbqt,10341.pdbqt,8625.384376956097
382,Specs_14494.pdbqt,10341.pdbqt,1361.5882940939657
383,Specs_4667.pdbqt,10341.pdbqt,10201.481447637932
384,Specs_23107.pdbqt,10341.pdbqt,973.3661443093963
385,Specs_19312.pdbqt,10341.pdbqt,7292.789388688664
386,Specs_8952.pdbqt,10341.pdbqt,19961.923601646595
387,Specs_1431.pdbqt,10341.pdbqt,3151.1548141802195
388,Specs_6977.pdbqt,10341.pdbqt,7292.789388688664
389,Specs_17781.pdbqt,10341.pdbqt,54640.05233663085
390,Specs_7421.pdbqt,10341.pdbqt,54640.05233663085
391,Specs_1274.pdbqt,10341.pdbqt,5213.436630822327
392,Specs_6227.pdbqt,10341.pdbqt,8625.384376956097
393,Specs_14442.pdbqt,10341.pdbqt,7292.789388688664
394,Specs_21276.pdbqt,10341.pdbqt,7292.789388688664
395,Specs_14611.pdbqt,10341.pdbqt,33026.05865576149
396,Specs_17236.pdbqt,10341.pdbqt,4407.976929287794
397,Specs_9059.pdbqt,10341.pdbqt,23609.520965282318
398,Specs_10297.pdbqt,10341.pdbqt,4407.976929287794
399,Specs_24075.pdbqt,10341.pdbqt,12065.575188108609
400,Specs_8640.pdbqt,10341.pdbqt,12065.575188108609
401,Specs_11213.pdbqt,10341.pdbqt,5213.436630822327
402,Specs_214.pdbqt,10341.pdbqt,4407.976929287794
403,Specs_16023.pdbqt,10341.pdbqt,7292.789388688664
404,Specs_2675.pdbqt,10341.pdbqt,1904.6508792732627
405,Specs_866.pdbqt,10341.pdbqt,3726.9582398412513
406,Specs_19073.pdbqt,10341.pdbqt,10201.481447637932
407,Specs_2706.pdbqt,10341.pdbqt,5213.436630822327
408,Specs_20992.pdbqt,10341.pdbqt,7292.789388688664
409,Specs_15851.pdbqt,10341.pdbqt,3151.1548141802195
410,Specs_14492.pdbqt,10341.pdbqt,2664.3112221601245
411,Specs_23437.pdbqt,10341.pdbqt,10201.481447637932
412,Specs_17410.pdbqt,10341.pdbqt,39060.83600928755
413,Specs_27811.pdbqt,10341.pdbqt,16877.86865578235
414,Specs_26317.pdbqt,10341.pdbqt,2252.683446901692
415,Specs_3965.pdbqt,10341.pdbqt,2252.683446901692
416,Specs_4524.pdbqt,10341.pdbqt,7292.789388688664
417,Specs_1281.pdbqt,10341.pdbqt,973.3661443093963
418,Specs_20559.pdbqt,10341.pdbqt,16877.86865578235
419,Specs_16026.pdbqt,10341.pdbqt,1361.5882940939657
420,Specs_18494.pdbqt,10341.pdbqt,7292.789388688664
421,Specs_26621.pdbqt,10341.pdbqt,6166.0761704557235
422,Specs_9054.pdbqt,10341.pdbqt,14270.290581532105
423,Specs_11501.pdbqt,10341.pdbqt,33026.05865576149
424,Specs_20768.pdbqt,10341.pdbqt,5213.436630822327
425,Specs_7672.pdbqt,10341.pdbqt,695.8356318112968
426,Specs_4324.pdbqt,10341.pdbqt,3726.9582398412513
427,Specs_13340.pdbqt,10341.pdbqt,7292.789388688664
428,Specs_26927.pdbqt,10341.pdbqt,1610.3882580155184
429,Specs_17096.pdbqt,10341.pdbqt,4407.976929287794
430,Specs_12686.pdbqt,10341.pdbqt,46198.33464379458
431,Specs_351.pdbqt,10341.pdbqt,12065.575188108609
432,Specs_13934.pdbqt,10341.pdbqt,27923.635584104093
